recipe_id;username;rating;comment
48b87645-5ea3-47d4-aa82-5e07b5ade660;talaesearonneberg;5;I will make this tomorrow morning.
cbb87adf-fae3-4d3e-a34e-1b8ae8344940;marciahiruo;5;Sounds good.If you do not have fresh ginger, can you use ground ginger?
504e390d-d93d-43fc-b3bf-829d5303485b;jenniferedwards;5;Really good and rich even though I only used half the cream cheese, no fontina cheese, chickpea pasta, and milk instead of half and half. Also used grilled chicken strips and skipped the oven.
504e390d-d93d-43fc-b3bf-829d5303485b;joshuaddiazfranco;5;The good things about this recipe is that you can customize it to your liking best. I did it without an oven, since I don't have any, simply cooked all the ingredients separately then mixed them all. What I found is that one half of the cheese is more than adequate if not oven cooked, otherwise is great delicious.
d74187b1-0130-4c2f-8a2c-b4b7f15e6b0e;janetcallahan;5;Tastes great. Wonderful easy to serve.
d74187b1-0130-4c2f-8a2c-b4b7f15e6b0e;stover;4;A stick of butter?
ba41f65e-d4d8-499e-8a57-ba19c534cc49;dk;5;Good 👍 website
42f1f664-55a8-4c3e-9cc6-4a91c3a98179;tporter549;5;Loved this dish and the instructions were easy to follow👍
51ae3e99-d39a-4581-afbd-88bdac4f5f04;nicolekletzka;5;This was delicious and easy to make.
4a418504-e16c-4fbb-95d9-b5888508157b;helend;5;Very good! The family (with varying tastes) all liked it. I used store-bought tortilla chips crumbled on top, instead of the tortilla strips. Also offered sliced green onions and sour cream as additional toppings. Very tasty, easy & quick -- a keeper!
93fd7ec6-6b51-4197-94bd-9fce42e93eb6;mort;5;I made this recipe exactly as directed. It was was delicious. I especially liked the strong umami flavor of the glaze. I served it with roasted broccoli. Excellent!
0d1b175c-4299-4b05-a479-146d9aa10460;oneota77gmailcom;5;This was delicious, even without the Parmesan. My 10 year old went back for thirds! I added smoked paprika as that is what we had on hand. Will definitely make this again.
0d1b175c-4299-4b05-a479-146d9aa10460;nichkj;4;I know it says 8 servings but how much is 1 serving? 1 cup? 1 1/2 cups?
61103775-1429-4a5b-8560-5df858885d84;susanquinn;1;No I didn't make it because some directions are weird. Says to take 6 cups of cooked rice (how many people is this supposed to serve?) which seems like a lot.Then a serving size is 1 cup? At that rate, we'd starve. That means that the calorie count is much higher than the 417 calories stated because we'd need to eat more than 1 cup.And I have found that a lot of the Eating Well recipes are far too tasteless so if I were to make this, I'd jazz it up a LOT!
61103775-1429-4a5b-8560-5df858885d84;ericapowell;2;This recipe took way longer than stated in the directions to prep and cook. 6 cups of cooked rice was way too much, I think it made it take longer in the oven for all the ingredients to bake together (40 mins), and it made it dry. I would reduce the rice to 3 cups like others have commented above to see if it comes out better. I unfortunately will not be making this again.
61103775-1429-4a5b-8560-5df858885d84;gesataline;5;I have made the recipe twice. The first time I followed the recipe exactly. It looked and tasted delicious. It’s hard to go wrong with some cream cheese, sour cream and a bit of real bacon.The second time I used what I had on hand. I subbed barley for the brown rice and cauliflower for the broccoli. I kept everything else the same. It was an even bigger hit It’s definitely a keeper for our Fall and Winter cozy suppers.
61103775-1429-4a5b-8560-5df858885d84;roxy;1;I wasted valuable money, time & excitement for this recipe :(. Pay attention to the 1 star reviews. I LOVE this app. But I am devastated this recipe was such a cshow. I can’t afford to buy these ingredients where the recipe brings me to a complete mess.
61103775-1429-4a5b-8560-5df858885d84;llamacat;4;I'm not sure why Eating Well is publishing casserole recipes in August (isn't it grilling season?), but I decided to try this and it turned out delicious. I used only 3 cups of cooked rice and agree that 6 cups would be too much rice. If this is a misprint in the recipe, please fix it! The only other change I made was I did not add sour cream, because I forgot to buy it. Instead, I added about 1/4 c of heavy cream that I happened to have in the fridge, because I was worried it would be too dry without the sour cream. Reminds me of the chicken broccoli casserole my mom used to make, but tastier and healthier! Gonna try the creamed spinach and chicken casserole next week.
61103775-1429-4a5b-8560-5df858885d84;jljenna;4;It's it 6 or 3 cups of cooked rice??!! Says 6 but someone says otherwise. I just made 6 and it does look like too much! I don't think it says the right amount of broth either! 1/4 is absorbed the minute you put it into a pot of three (or 6) cups of rice! I'm trying a cup and a quarter. The broccoli won't get tender without liquid.
61103775-1429-4a5b-8560-5df858885d84;jamie;5;Delicious just make sure you only make 3 cups of cooked rice for the recipe I might have misread the recipe but I figured it out before it was too late. Very flavorful highly recommend.
734dfb7c-1728-40fe-9274-ca5c249db610;egvdropsouo;5;Very tasty 😋
734dfb7c-1728-40fe-9274-ca5c249db610;helenp;5;This was a bit labour intensive but so worth it! I made no changes to the recipe. Very flavourful. I froze the leftover chipotles for the next time I make this. Based on family reviews that will be soon.
f9b7d664-4b4c-4ffa-9e37-92a7ae9189f2;egvdropsouo;5;Ok like mine better
8e5297e8-b7fe-47b6-83a4-3f8fac243177;deb;4;Great recipe. I can't wait to try it. Disappointed however that you are promoting the use of inflammatory oil such as grapeseed which is so harmful to human health. Olive oil is the go-to for salad dressings!
7909d923-f0c3-408b-bea2-e6febd3d8c6a;jangle5757;5;It seems unfair to rate as I did not follow the recipe exactly though it was close. First off, I realized I was out of balsamic vinegar but I did have white balsamic so used that. Then I was halving the recipe so rather than have a half of a 28oz can of tomatoes leftover, I used a can of plain tomato sauce and added chopped up fresh plum tomatoes that I peeled. I also dislike fennel and red pepper so those were omitted but left in the garlic and basil. I also did not have the ricotta salata so I just grated some Romano cheese over it though I would like to try it with the ricotta salata. I really liked what I ended up with and even went back for seconds. It was a new way to use eggplant that I recommend.
7909d923-f0c3-408b-bea2-e6febd3d8c6a;davidkotchan;5;This is really great, and easy to make. I increased the tomato paste a little (to my tastes), but otherwise the recipe is delicious as it stands.
44f41e28-6682-4f81-931a-70c2e0aeb194;stephanie;3;I prefer to know what is in my salads, however I understand that many people are very rushed for time and want something quick and nourishing.
44f41e28-6682-4f81-931a-70c2e0aeb194;dumplin24;1;I think the recipe is a cop out. The ingredients aren’t listed, most of them are in a random grocery item which could be different depending on which store you purchase them from. Bad form!
e4b6c99e-30ec-4422-80e8-194a6d06aaff;lenorajohnson;5;It was delicious and a bit addictive for me…I loved the various textures in the sandwich and how the flavors came together. It’s also very filling
e4b6c99e-30ec-4422-80e8-194a6d06aaff;draytonmoore;5;Fabulous
1053507b-0ff9-489a-a23e-62a56d2824bd;shaki;5;I haven't prepared it yet. But. I love all the ingredients.
2f8f395c-9649-4830-8dbb-f014395777fa;jrobinjrob;5;Taste
9cf624d3-3b7a-41f6-9617-ed043c0162f2;shalenaali;5;Amazing, tasty and refreshing. I used whole geera instead of ground. I used sweet onion. I additionally added fresh cilantro, boiled channa and pomegranate seeds. Came out wonderful.
9cf624d3-3b7a-41f6-9617-ed043c0162f2;penelope;5;This salad used to be my go-to on road trips when we didn't have a lot of food options and would stop at McDonalds. I made it last night for my family and set it up like a salad bar so everyone could make their own and choose their own ingredients. The dressing is very zesty, the 11-year-old gobbled the salad up. I used leftover chicken that I had in the fridge, which was so convenient. Next time I might try grilling the chicken for some extra flavor.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;ellentresidder;5;I made two of these crustless quiches, one exactly as written and the other with ham, roasted red bell peppers, and cheddar. They cooked together in the oven with 15 extra minutes of cooking time and came out delicious! I’ll be making this recipe again for sure!
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;rinasartain;5;Super tasty. Didn't even miss the crust!
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;sheridan;5;This is the best crustless quiche recipe I have ever used! Best flavor, best texture!
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;margaretsmith;5;I have made this multiple times it's my go to for quiche. Best when I can find a medley of mushrooms, which really adds to the flavor. I use freeze dried thyme since it's easy to keep on hand. I've mixed it up also with ham, cheese and spinach. This recipe is so versatile.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;terrid;5;Delicious! I love that it’s made without crust, and the flavor is so full and deep. We had very fresh thyme which made the dish delightful. I made it as instructed no substitutions. I definitely will make this again and again.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;debmartin;5;I will definitely make again. I substituted dry thyme and 2% milk but still good.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;donna;5;ABSOLUTLY delicious! Only swapped out Almond mild for milk and cream, used 1 tsp dried thyme and used light Mozzarella shredded cheese to make dish lighter in calories! This recipe will be a regular go to recipe for me!! ❤️
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;brookeit2gmailcom;5;This was amazing in every single way! My husband kept thanking me, for hours after dinner 😆. I usually have to ask if he likes something we have for dinner.I used a dried wild mushroom medley with 5 types of mushrooms (reconstituted beforehand), and I did use a refrigerator pie crust because we had one on hand (and it sounded good ) Otherwise I followed the recipe to a T. Soooo delicious!
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;velvetmask;5;I would like to use this recipe for tart-sized quiches for a High Tea that we're hosting over the Christmas holidays. Does the quiche freeze well? It would be convenient to make it in advance and cook it on the day of the Tea.Thank you,Lynn
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;marcylanesaleh;5;I really love the Dijon & Thyme in this quiche.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;caitlynkraszewski;5;Made this today ... just subbed smoked Gouda for the gruyere. Loved it! My one year old son ate it all too ! Look forward to making it again.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;goycrazy;5;I made this with 1 cup fontina and 1/2 cup havarti and used skim milk instead of whole. So good! You really don’t miss the crust.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;carlitosway;4;It was pretty good and easy to make. Let's not get crazy though, I did miss the crust.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;deborahniels;5;My family loved this quiche!!! It was especially great for a friend that has diabetes, because it did not have a crust. She absolutely loved it also. The only changes I made was I added more spinach (fresh that I sauteed in a little EVOO, and did not chop), extra portabella mushrooms, sauteed first, and extra gruyere cheese. I also used non-dairy milk (coconut, cashew, almond) and non-dairy creamer in place of half & half.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;zaravasilvasil67;5;I did it today and ate it .. it's so delicious
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;daveg79663;5;It is extremely well and very helpful thank you.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;sbrown5816;5;I have had this recipe saved for quite some time and finally made it for dinner yesterday. Used cremini and porcini mushrooms and swiss cheese instead of gruyere. It was easy to make and fairly quick sans no crust, the end result was delicious. Added a sprinkle of nutmeg on top before baking and served with a simple wedge salad. A nice change for a weekend dinner. Will finish the rest for a simple Sunday lunch.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;sheridan;5;"This is an excellent quiche! It stands up to quiche with a crust because it is very flavorful and has a dense, full texture. It generously fills a 9"" pie pan. I have made it several times without making any changes to the recipe, because as-is, it is delicious!"
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;carolanoneill;5;Started making something similar to this several weeks ago. Just spinach, mushrooms, eggs and a bit of whatever cheese I had on hand. However I fell for the 'quinoa is good for you' mantra and added quinoa as a crust like base to make it seem more like a quiche. I bake for 25 to 30 minutes and then once cooled I cut in brownie size portions and store in the fridge. I have enough servings for a quick breakfast before work for a whole week. I usually add a splash of Choulala sauce for that added kick. It's quick to nuke in the microwave for about 1 1/2 to 2 minutes and I have a proper, quick and nutritious breakfast. I don't add any milk to the eggs but I may experiment with some of the suggested seasonings.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;alisonmcculloch;5;Absolutely loved this! Will be part of the regular rotation! Made as directed. Served with a salad. My only complaint is many recipes, including this one, do not identify how many servings the recipe makes. So when I have one slice, is it 1/8 of the pie or a 1/6? Hard to figure out the nutritional information if you choose to have another piece without all the facts.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;donna;1;I enjoyed the ease of this recipe, however, the flavor was lousy. So sorry, but we ended up tossing the entire quiche. It lacked flavor.donna
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;atunnessen;5;Made this as written and we all loved it.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;familiapaniagua;5;Amazing delicious
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;rosegarretson;5;"This is a wonderful recipe that is bursting with flavor! It's easy to make, and you can even make ahead and gently reheat it.Thank you for posting this! Initially I had thought to add bacon - but I'm glad I didn't, because with the mix of mushrooms, the flavor is ""just right"". This is definitely going to be in my line-up frequently."
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;wham;5;This is a great recipe thank you Julia!! I have been watching sat fat for the past few years and now paying attention to sodium. In mine I used original coffee mate instead of cream, egg whites with only 2 yolks, applewood smoked Gruyère and my mushroom mix was 2.6 oz each of oyster, cremini and shiitake mushrooms. I also added a little cayenne because life is bland without it👍! Just make sure to let it rest well before cutting into it so everything melds and liquids settle!
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;mikephillips;5;My family loves this recipe. Best one I have found!
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;hackeronetest;4;Mmm. Awesome.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;lanettefisher;5;I just served this to my family and we are only sad that I didn't make more. This is delicious!
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;suzyq;5;This recipe is delicious. Tried the mini-quiche similar recipe made in muffin pan, but this was easier and less messy. Five stars!
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;kathymcclellan;5;Was delicious. When combining mushrooms and spinach mixture to eggs and milk, I added 1 1/2 T capers or to taste.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;monicadesai;5;This was soooo good! I used baby portobello mushrooms and cooked until tiny. Very delicious.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;karen;5;Made it as directed and it was outstanding ! The best crustless quiche hands down!
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;bstr1;1;I really wanted to like this recipe... I tried. I remained positive but my husband said... Hmmm, it's rubbery. Indeed it was. It was beautiful, smelled delicious, but the texture was very unappetizing. I followed the directions exactly. We each had a slice and then tossed the remainder.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;wellfam;5;Made this quiche for breakfast today. Went together so easily. My husband and I loved it. Will definitely be making again..
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;heidi;5;This is a spectacular recipe. I made it according to the recipe and it was gorgeous. I told my husband that this was going to become a staple in our household! The recipe is even more delightful, given its healthful ingredients and low calorie count.
c79ff18d-b499-4bfc-8840-9cf3f079cb1e;meganos;5;The combination of wild mushrooms and gruyere cheese really elevates the flavor of this quiche.
53488272-b1b2-4e33-a82c-6bbe5045e0ab;makaylahh;4;I like it, I added different seasonings though. It’s a little dry, I wish it has some sauce or something
53488272-b1b2-4e33-a82c-6bbe5045e0ab;arianadee;4;I liked it! I did add a can of Rotel with diced green chilies to amp it up a bit, and I swapped in spinach for the kale, plus added celery salt.
53488272-b1b2-4e33-a82c-6bbe5045e0ab;mrsnamarith;4;I love a one-pan meal! especially when it's NOT the usual pasta or rice. Instead of cooking everything in liquid, like most one pot meals, each component is sautéed, giving some nice browning. I knew we would not like that much cumin or poblano, so I used Italian seasoning instead, leaving out the poblano pepper. It's hearty and satisfying.
53488272-b1b2-4e33-a82c-6bbe5045e0ab;nonna;5;We loved this recipe! My husband said he'd eat this every day!! I substituted spinach for the kale. I found the recipe a bit dry so I used a 14 oz can of petit diced tomatoes, including the juice.
53488272-b1b2-4e33-a82c-6bbe5045e0ab;cgreco;5;I wanted to use up the ingredients this called for and was skeptical but this was delicious :) Used spinach instead of kale.
53488272-b1b2-4e33-a82c-6bbe5045e0ab;alasinisellesin;3;The recipe was okay. Kind of bland so I added more seasoning-garlic powder and onion powder-and dry. I feel like it’s missing a sauce to go with it and perhaps another starch such as a tortilla. Or probably an acidity note to help enhance it-so squeeze some lemon or lime at the end (I didn’t think about this because I was so hungry). Just some suggestions.
53488272-b1b2-4e33-a82c-6bbe5045e0ab;jesscoplans;5;This was very yummy! My husband added garlic salt to the potatoes and it all had nice flavors and textures. Sort of felt like breakfast for dinner-I wonder how it would be with scrambled eggs on top?
53488272-b1b2-4e33-a82c-6bbe5045e0ab;tammy;5;Couple extra steps that defeats quick weeknight meal, but worth it. Browned flat iron steak (on sale) instead of ground beef, remove from pan, tent & let rest before slicing thin strips. Keeping browned bits in pan, Sautéed peppers & onions, (did not add garlic yet) remove veggies from pan. Added 2 tsp oil to pan, sautéed sliced mushrooms & one cubed zucchini. Removed veggies from pan, added splash of olive oil, 1 TBS tomato paste w/2-3 tsp Italian seasoning, heat for approx 2 min on low heat stirring constantly. Stir in garlic approx 30 seconds, add 1/4 cup red wine. Reduce for approx 2-3 minutes stirring constantly then added all ingredients back to pan including juices from meat, salt & black pepper to taste, simmer on low stirring occasionally 5-10 minutes. Added fresh spinach the last couple minutes.
53488272-b1b2-4e33-a82c-6bbe5045e0ab;matts;3;Like several others, I thought the recipe is missing something. But it is hard to pin down what. I added sweet paprika. That helped. Then I added some Adobo powder. That helped a lot more. But, until I figure out what this really needs I am not likely to make it again.
53488272-b1b2-4e33-a82c-6bbe5045e0ab;harini9624;5;Hi, this recipe looks so yummy and colourful. Thanks for the recipe.byhttps://www.hariniskitchen.com/
53488272-b1b2-4e33-a82c-6bbe5045e0ab;amiesawyer;5;Was so good! My whole family raved about it!! Added my own spin with a can of cream of mushrooms and topped with an egg. Also used some previous comments and added some Worcester sauce and balsamic vinegar. My only regret was I didn't make more!
53488272-b1b2-4e33-a82c-6bbe5045e0ab;robinnaviaskyredding;4;This is good, and I'm always looking for a way to use kale. It just needs something--that unami taste? I added a splash of Worcestershire sauce, but it still wasn't right. Then a splash of balsamic vinegar. That helped. I would make it again, but probably add some balsamic vinegar.
53488272-b1b2-4e33-a82c-6bbe5045e0ab;austindaily123;5;Tasted great, easily clean up, good protein intake. 10/10 I'll make it again.
53488272-b1b2-4e33-a82c-6bbe5045e0ab;alisonrodriguez212;5;This was a delicious & easy recipe. Perfect for a quick week night meal.
cefa2dea-fa7f-495e-82a1-715fdd5163b3;timrisenhoover;5;Love this as written, but since this is the internet I did make a couple of modifications. These modifications were to lower the calories. First, used 90% lean bison meat. Then only one cup of whole wheat elbow macaroni. Also skipped the olive oil and just cooked the onion with the bison. I added a jalapeño pepper and a bit of Tabasco and loved it.
